,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,Ahipara,-35.17,173.17,63.5,80,83,12.21,NZ,1602466233
267,Jalu,29.03,21.55,70.84,45,100,7.54,LY,1602466305
268,Chicama,-7.84,-79.15,63.97,81,26,5.99,PE,1602466305
269,Turukhansk,65.82,87.98,22.08,97,98,14.25,RU,1602466702
270,Dawson Creek,55.77,-120.24,42.8,56,20,10.29,CA,1602466676
271,Lázaro Cárdenas,17.96,-102.2,80.96,79,91,2.48,MX,1602466706
272,Mount Isa,-20.73,139.5,91.4,14,52,13.87,AU,1602466261
273,Deputatsky,69.3,139.9,17.47,97,100,0.96,RU,1602466710
274,Dakar,14.69,-17.44,78.8,94,20,2.24,SN,1602466570
275,Maceió,-9.67,-35.74,73.4,88,16,6.93,BR,1602466715
276,Kermanshah,34.31,47.06,50.0,31,0,4.7,IR,1602466717
277,Opuwo,-18.06,13.84,55.83,34,0,1.88,NA,1602466720
278,Masterton,-40.96,175.66,60.01,95,100,4.0,NZ,1602466722
279,Coquimbo,-29.95,-71.34,55.4,82,0,4.7,CL,1602466304
280,Sukumo,32.93,132.73,78.84,60,31,3.2,JP,1602466725
281,Kedrovyy,56.17,91.82,19.4,92,40,2.24,RU,1602466303
282,Fergus Falls,46.28,-96.08,62.6,77,40,26.4,US,1602466500
283,Kumul,42.8,93.45,47.16,43,0,11.59,CN,1602466731
284,Sembakung,3.82,117.25,72.7,97,100,4.14,ID,1602466734
285,Hofn,64.25,-15.21,46.4,82,20,11.16,IS,1602466250
286,Pirovskoye,57.63,92.27,24.6,94,100,6.87,RU,1602466737
287,Albury,-36.08,146.92,68.0,60,0,4.7,AU,1602466739
288,Chui,-33.7,-53.46,56.43,92,53,6.53,UY,1602466266
289,Payo,-3.75,103.64,76.08,90,100,1.7,ID,1602466743
290,Merrill,45.18,-89.68,53.6,93,90,11.41,US,1602466745
291,Portadown,54.42,-6.44,50.0,87,100,5.82,GB,1602466747
292,Laredo,27.51,-99.51,91.4,40,1,9.17,US,1602466749
293,Lorengau,-2.02,147.27,84.04,77,96,11.65,PG,1602466285
294,Gwadar,25.12,62.33,77.5,26,0,13.49,PK,1602466600
295,Safaga,26.73,33.94,78.8,47,0,4.7,EG,1602466755
296,Muriti,-1.98,32.92,69.8,83,20,5.82,TZ,1602466759
297,Gizo Government Station,-8.1,156.84,84.83,75,34,9.46,SB,1602466259
298,Longonjo,-12.91,15.25,58.93,78,0,0.96,AO,1602466763
299,Vostok,46.49,135.88,43.68,79,97,4.29,RU,1602466765
300,Kalmunai,7.42,81.82,82.06,63,83,4.14,LK,1602466766
301,Vestmanna,62.16,-7.17,44.6,100,100,12.75,FO,1602466268
302,Anadyr,64.75,177.48,35.01,74,45,13.42,RU,1602466042
303,Porto-Novo,6.5,2.6,75.16,91,85,5.06,BJ,1602466259
304,Kasongo-Lunda,-6.47,16.82,71.17,93,100,0.63,CD,1602466774
305,Casper,42.87,-106.31,48.0,31,20,11.41,US,1602466775
306,Hwange,-18.37,26.5,72.73,68,1,10.04,ZW,1602466777
307,Synya,65.37,58.04,44.78,92,100,8.16,RU,1602466779
308,Tiksi,71.69,128.87,11.59,94,28,8.41,RU,1602465976
309,Hobyo,5.35,48.53,78.33,86,39,13.44,SO,1602466784
310,San Cristobal,7.77,-72.22,67.24,89,93,2.82,VE,1602466224
311,Sangar,63.92,127.47,25.11,82,0,8.37,RU,1602466787
312,Nchelenge,-9.35,28.73,70.66,82,70,4.29,ZM,1602466789
313,Margate,51.38,1.39,48.99,84,48,10.87,GB,1602466275
314,Narsaq,60.92,-46.05,48.2,83,100,21.92,GL,1602466286
315,Bandarbeyla,9.49,50.81,76.95,78,0,2.24,SO,1602466233
316,Te Anau,-45.42,167.72,55.17,83,39,4.23,NZ,1602466257
317,Half Moon Bay,37.46,-122.43,69.01,72,1,10.29,US,1602466238
318,Miguel Hidalgo,19.42,-99.2,68.0,63,75,4.7,MX,1602466708
319,Cherskiy,68.75,161.3,25.16,89,0,8.95,RU,1602466262
320,Amantea,39.13,16.07,61.0,77,91,2.24,IT,1602466806
321,Cham,47.18,8.46,43.0,93,75,2.35,CH,1602466808
322,Jermuk,39.84,45.67,45.46,46,100,1.83,AM,1602466809
323,Necochea,-38.55,-58.74,48.99,96,2,11.01,AR,1602466030
324,Quelimane,-17.88,36.89,72.91,86,100,5.86,MZ,1602466812
325,Kavieng,-2.57,150.8,85.23,67,76,7.36,PG,1602466278
326,Topeka,39.05,-95.68,78.8,54,1,9.17,US,1602466763
327,Periş,44.68,26.01,57.99,93,30,4.7,RO,1602466817
328,Portland,45.52,-122.68,59.0,93,90,18.34,US,1602466203
329,Escárcega,18.61,-90.75,76.42,88,100,1.3,MX,1602466822
330,Kargasok,59.06,80.86,34.61,98,100,6.26,RU,1602466824
331,Smidovich,48.6,133.82,48.63,53,0,13.18,RU,1602466826
332,Aklavik,68.22,-135.01,26.6,79,90,14.99,CA,1602466828
333,Katsina,12.99,7.6,79.23,53,0,6.85,NG,1602466829
334,São João da Barra,-21.64,-41.05,70.0,65,93,4.5,BR,1602466832
335,Kéfalos,36.75,26.96,68.0,72,45,3.36,GR,1602466834
336,Ibirubá,-28.63,-53.09,58.82,64,0,2.53,BR,1602466836
337,Zhob,31.34,69.45,57.38,33,0,4.72,PK,1602466747
338,Yumbel,-37.08,-72.57,57.2,67,0,8.05,CL,1602466840
339,San Jose,37.34,-121.89,75.2,40,20,16.11,US,1602466087
340,Ustka,54.58,16.86,45.39,85,95,9.69,PL,1602466844
341,Coahuayana Viejo,18.73,-103.68,79.79,83,100,1.66,MX,1602466846
342,Yar-Sale,66.83,70.83,38.12,90,18,8.5,RU,1602466848
343,Foz do Iguaçu,-25.55,-54.59,77.0,53,0,6.93,BR,1602466803
344,Olinda,-8.01,-34.86,80.6,69,40,4.7,BR,1602466811
345,Restrepo,3.82,-76.52,75.2,73,40,9.17,CO,1602466854
346,Oddur,4.12,43.89,72.9,88,2,8.72,SO,1602466856
347,Iquitos,-3.75,-73.25,78.87,73,98,1.88,PE,1602466858
348,Arman',59.7,150.17,43.56,60,42,4.88,RU,1602466860
349,Uyuni,-20.46,-66.83,50.97,55,27,13.44,BO,1602466864
350,Fortuna,40.6,-124.16,64.4,59,20,12.75,US,1602466300
351,Buala,-8.14,159.59,86.18,70,24,8.95,SB,1602466868
352,Namatanai,-3.67,152.43,85.68,67,69,4.65,PG,1602466871
353,Xining,36.62,101.77,41.25,67,94,1.43,CN,1602466874
354,Griffith,41.53,-87.42,66.99,77,1,10.98,US,1602466876
355,Telixtac,18.57,-98.77,68.88,87,100,1.83,MX,1602466878
356,Simbahan,6.3,120.58,84.97,64,72,1.05,PH,1602466880
357,Noyabrsk,63.2,75.45,36.84,97,100,16.02,RU,1602466882
358,Tongzi,28.78,105.09,62.19,84,100,0.63,CN,1602466884
359,Dunedin,-45.87,170.5,51.01,82,99,8.01,NZ,1602466886
360,Ati,13.22,18.34,85.59,27,94,4.09,TD,1602466887
361,Zinder,13.81,8.99,83.62,18,0,4.38,NE,1602466888
362,Dalnerechensk,45.93,133.72,51.12,60,0,5.3,RU,1602466890
363,Yulara,-25.24,130.99,82.4,13,72,14.99,AU,1602466892
364,Izumo,35.37,132.77,69.8,83,75,3.36,JP,1602466894
365,Qaqortoq,60.72,-46.03,48.2,80,100,21.92,GL,1602466895
366,Lebu,-37.62,-73.65,51.33,68,0,20.22,CL,1602466897
367,Arrondissement de Bergerac,44.83,0.5,46.99,100,0,3.36,FR,1602466898
368,Uvinza,-5.1,30.39,66.72,78,100,3.36,TZ,1602466899
369,Ulaangom,49.98,92.07,34.61,81,100,1.99,MN,1602466901
370,Oud-Beijerland,51.82,4.41,52.0,100,90,3.36,NL,1602466902
371,Warrnambool,-38.38,142.48,67.39,63,53,16.11,AU,1602466903
372,Ouidah,6.36,2.09,76.19,89,94,7.45,BJ,1602466904
373,Morondava,-20.28,44.28,72.73,68,0,2.66,MG,1602466905
374,Feicheng,35.26,117.97,65.89,59,86,8.84,CN,1602466907
375,Faanui,-16.48,-151.75,79.03,81,1,14.99,PF,1602466909
376,Lompoc,34.64,-120.46,70.0,77,1,12.75,US,1602466910
377,Puerto Rico,-26.8,-55.02,63.77,50,0,1.39,AR,1602466912
378,College,64.86,-147.8,37.4,47,75,9.17,US,1602466913
379,Turan,16.07,108.22,77.0,100,75,3.36,VN,1602466914
380,Ponta Delgada,37.73,-25.67,62.6,88,75,9.17,PT,1602466915
381,Uruguaiana,-29.75,-57.09,69.8,52,0,10.29,BR,1602466916
382,Marsá Maţrūḩ,31.35,27.25,68.0,72,20,4.5,EG,1602466917
383,Oodweyne,9.41,45.06,71.64,36,0,8.95,SO,1602466918
384,Mossamedes,-15.2,12.15,60.06,86,5,3.02,AO,1602466920
385,Alofi,-19.06,-169.92,75.2,94,75,25.28,NU,1602466921
386,Novobataysk,46.9,39.78,57.2,76,0,13.42,RU,1602466922
387,Olavarría,-36.89,-60.32,46.04,95,0,9.55,AR,1602466923
388,Romitan,39.93,64.38,42.8,48,0,6.93,UZ,1602466924
389,Udomlya,57.88,34.99,47.01,93,100,4.29,RU,1602466926
390,Arriaga,16.23,-93.9,78.64,83,100,2.35,MX,1602466928
391,Pangnirtung,66.15,-65.71,35.2,85,92,4.14,CA,1602466930
392,Berdigestyakh,62.1,126.7,26.62,86,90,10.25,RU,1602466934
393,Ketchikan,55.34,-131.65,46.4,100,75,6.93,US,1602466936
394,Okha,53.57,142.95,53.67,70,100,20.65,RU,1602466938
395,Lékoni,-1.58,14.26,71.26,89,100,7.29,GA,1602466940
396,Dubna,56.73,37.17,46.49,80,100,4.14,RU,1602466755
397,Dandong,40.13,124.39,55.96,39,0,14.2,CN,1602466944
398,Klaksvík,62.23,-6.59,44.6,100,100,12.75,FO,1602466946
399,Belgrade,44.8,20.47,57.2,82,26,10.29,RS,1602466935
400,Isoka,-10.16,32.63,63.86,61,1,0.89,ZM,1602466951
401,Ouadda,8.08,22.4,68.09,95,100,8.25,CF,1602466954
402,Racine,42.75,-88.08,59.0,87,1,3.36,US,1602466956
403,Jaqué,7.52,-78.17,79.54,83,100,4.65,PA,1602466958
404,Bad Iburg,52.15,8.04,45.0,100,20,3.36,DE,1602466961
405,Usinsk,65.99,57.53,45.52,88,100,14.52,RU,1602466963
406,Aojiang,22.94,116.04,80.01,74,5,1.01,CN,1602466834
407,Alta Gracia,-31.65,-64.43,63.0,36,0,4.7,AR,1602466968
408,Abu Samrah,35.3,37.18,59.27,79,0,2.91,SY,1602466970
409,Maturin,9.75,-63.18,74.59,95,100,3.58,VE,1602466900
410,Impfondo,1.64,18.07,68.16,95,100,3.38,CG,1602466975
411,Port Blair,11.67,92.75,79.79,86,100,15.19,IN,1602466977
412,São Domingos,-13.4,-46.32,73.35,76,100,2.75,BR,1602466979
413,Chardara,41.25,67.97,46.49,49,0,8.57,KZ,1602466981
414,Marrakesh,31.63,-8.01,73.4,46,0,2.24,MA,1602466769
415,Totskoye,52.52,52.76,43.02,56,95,5.28,RU,1602466985
416,Karratha,-20.74,116.85,92.59,23,0,4.63,AU,1602466987
417,Pierre,44.37,-100.35,54.0,46,75,8.05,US,1602466740
418,Baltiysk,54.65,19.91,41.0,93,40,6.71,RU,1602466991
419,Cuamba,-14.8,36.54,67.28,92,0,1.72,MZ,1602466995
420,Puerto Madero,14.72,-92.42,80.6,94,5,4.7,MX,1602466998
421,Ocampo,21.65,-101.5,60.03,38,100,9.82,MX,1602467000
422,Shelburne,44.08,-80.2,45.0,86,1,4.7,CA,1602467002
423,Swindon,51.56,-1.78,46.0,100,90,3.36,GB,1602467004
424,Berlevåg,70.86,29.09,40.28,92,100,11.1,NO,1602467007
425,Chiang Rai,19.92,99.92,75.99,100,27,4.7,TH,1602467008
426,Luau,-10.71,22.22,66.4,88,26,4.03,AO,1602467012
427,Siwāna,25.63,72.42,81.27,31,0,0.27,IN,1602467015
428,Burnie,-41.07,145.92,57.0,67,100,10.0,AU,1602467016
429,Haines Junction,60.75,-137.51,38.17,86,100,1.9,CA,1602467018
430,San Patricio,28.02,-97.52,80.6,78,75,13.87,US,1602467022
431,Kez,57.9,53.72,39.56,80,98,4.85,RU,1602467024
432,Manching,48.72,11.49,41.0,100,100,2.24,DE,1602467025
433,Saint-Augustin,51.23,-58.65,33.58,89,0,14.23,CA,1602467028
434,Ostrovnoy,68.05,39.51,42.24,88,100,5.32,RU,1602467031
435,Linfen,36.09,111.52,65.3,26,62,6.22,CN,1602467033
436,Cidreira,-30.18,-50.21,64.18,82,0,18.63,BR,1602467035
437,Koungheul,13.98,-14.8,79.83,78,100,8.3,SN,1602467036
438,High Level,58.52,-117.14,41.0,86,75,4.7,CA,1602466993
439,Joensuu,62.6,29.76,50.0,93,90,4.7,FI,1602467040
440,Bam,29.11,58.36,52.11,31,0,8.03,IR,1602467045
441,Moroto,2.53,34.67,66.61,73,0,1.99,UG,1602467047
442,Kutum,14.2,24.67,77.0,45,19,1.19,SD,1602467049
443,Mount Gambier,-37.83,140.77,68.0,52,14,18.34,AU,1602467053
444,Huarmey,-10.07,-78.15,62.94,84,8,6.91,PE,1602467055
445,Lockhart,28.62,-81.44,80.01,96,65,6.35,US,1602467057
446,Manaus,-3.1,-60.02,78.8,88,85,2.24,BR,1602467033
447,Cametá,-2.24,-49.5,80.24,77,1,7.81,BR,1602467061
448,Aripuanã,-9.17,-60.63,73.27,85,4,1.21,BR,1602467062
449,Porbandar,21.64,69.61,81.68,77,98,9.98,IN,1602467064
450,Mackenzie,55.3,-123.17,39.2,93,90,2.24,CA,1602467066
451,Tadpatri,14.92,78.02,73.11,90,100,8.63,IN,1602467068
452,Biak,-0.91,122.88,82.71,66,73,8.25,ID,1602467070
453,Susurluk,39.91,28.16,57.99,93,0,3.36,TR,1602467072
454,Osterburg,52.78,11.77,48.0,91,31,1.99,DE,1602467074
455,Ayní,39.39,68.54,43.93,59,0,1.07,TJ,1602467077
456,Sept-Îles,50.2,-66.38,37.99,69,40,6.93,CA,1602467079
457,Liseleje,56.01,11.95,46.0,89,10,1.99,DK,1602467081
458,Asău,46.43,26.4,52.0,98,92,1.66,RO,1602467083
459,Bud,39.45,-86.18,68.0,82,1,3.36,US,1602467084
460,Nishihara,26.18,127.76,84.2,69,40,6.93,JP,1602467086
461,Paracuru,-3.41,-39.03,79.0,78,0,17.0,BR,1602467088
462,Tari,12.41,4.49,80.06,65,0,8.25,NG,1602467090
463,Constitución,-35.33,-72.42,56.66,66,44,5.75,CL,1602467092
464,Chumikan,54.72,135.31,46.38,61,48,22.5,RU,1602467093
465,Kavaratti,10.57,72.64,81.72,78,100,18.81,IN,1602467095
466,Albanel,48.88,-72.45,28.4,86,20,3.36,CA,1602467097
467,Tura,25.52,90.22,78.94,90,0,1.79,IN,1602467100
468,Midland,32.0,-102.08,87.8,19,1,8.05,US,1602466995
469,Mt. Pleasant,32.79,-79.86,77.0,100,75,8.05,US,1602467105
470,Aden,12.78,45.04,82.69,70,0,9.51,YE,1602467080
471,Elizabeth City,36.29,-76.25,71.6,94,90,6.93,US,1602466839
472,Sungai Penuh,-2.08,101.38,67.8,86,100,4.12,ID,1602467110
473,Lososina,49.0,140.31,61.09,69,100,6.6,RU,1602467113
474,El Ejido,36.78,-2.81,62.6,82,10,5.82,ES,1602467115
475,Coyhaique,-45.58,-72.07,48.2,57,20,6.93,CL,1602467119
476,Dalvik,65.97,-18.53,39.2,100,75,2.24,IS,1602467121
477,Yerbogachën,61.28,108.01,24.24,88,10,3.83,RU,1602467123
478,Semme,46.2,1.5,44.6,100,0,6.93,FR,1602467125
479,Llangefni,53.26,-4.31,54.0,76,100,14.99,GB,1602467126
480,Ginir,7.13,40.7,55.96,78,1,4.18,ET,1602467128
481,Kupang,-10.17,123.58,89.6,43,20,10.29,ID,1602467130
482,Leh,34.17,77.58,40.28,56,0,3.18,IN,1602467133
483,Nouadhibou,20.93,-17.03,68.0,88,0,9.17,MR,1602467135
484,Dongkan,34.0,119.83,66.56,75,100,9.17,CN,1602467137
485,Anaconda,46.13,-112.94,42.8,41,1,16.11,US,1602467139
486,Miranda,3.25,-76.23,75.2,73,40,9.17,CO,1602467141
487,Kaka,37.35,59.61,39.99,65,0,1.72,TM,1602467143
488,Tomigusuku,26.18,127.67,82.4,69,20,12.75,JP,1602467145
489,Batesville,35.77,-91.64,72.0,88,1,5.82,US,1602467138
490,Castelo do Piauí,-5.32,-41.55,75.0,45,0,4.47,BR,1602467150
491,Maiduguri,11.85,13.16,79.63,24,0,4.99,NG,1602467151
492,Amalāpuram,16.58,82.02,78.8,94,75,3.27,IN,1602467153
493,Mergen,49.18,125.22,40.95,61,0,11.99,CN,1602467155
494,Port-Gentil,-0.72,8.78,77.59,85,100,13.76,GA,1602467160
495,Malbork,54.04,19.03,39.99,100,67,4.7,PL,1602467162
496,La Rioja,42.25,-2.5,48.99,93,40,13.87,ES,1602467165
497,Manzhouli,49.6,117.43,33.1,77,100,14.2,CN,1602467167
498,Shenjiamen,29.96,122.3,70.21,71,38,13.22,CN,1602467169
499,Ahtopol,42.1,27.95,59.0,100,75,2.24,BG,1602467171
500,Qasigiannguit,68.82,-51.19,37.4,86,97,5.82,GL,1602467173
501,Pathein,16.78,94.73,81.23,83,30,8.81,MM,1602466918
502,Agüimes,27.91,-15.45,75.0,78,40,19.46,ES,1602467177
503,Iwanai,42.97,140.51,65.14,75,100,8.95,JP,1602467179
504,Riviere-au-Renard,49.0,-64.4,35.6,64,5,5.82,CA,1602467181
505,Walvis Bay,-22.96,14.51,54.0,93,0,5.82,NA,1602467183
506,Piaçabuçu,-10.41,-36.43,76.53,82,27,15.3,BR,1602467185
507,Esperanza,19.58,-70.98,78.01,87,97,1.01,DO,1602467187
508,Krasnosel'kup,65.7,82.47,27.46,98,100,18.01,RU,1602467189
509,Fare,-16.7,-151.02,79.54,78,35,15.48,PF,1602467191
510,Belaya Gora,68.53,146.42,28.06,87,100,2.35,RU,1602467193
511,Mahajanga,-15.72,46.32,75.2,88,20,3.36,MG,1602467195
512,Beloha,-25.17,45.05,63.52,95,45,4.72,MG,1602467197
513,Belyy Yar,53.6,91.39,33.8,90,100,2.24,RU,1602467199
514,Zhuhai,22.28,113.57,80.6,74,20,13.87,CN,1602467201
515,Khingansk,49.12,131.18,37.42,76,0,9.89,RU,1602467204
516,Takoradze,4.88,-1.76,75.49,89,81,6.78,GH,1602467206
517,Benguela,-12.58,13.41,71.04,80,11,2.91,AO,1602467208
518,Batemans Bay,-35.72,150.18,66.99,70,99,10.54,AU,1602467031
519,Macusani,-14.08,-70.43,37.54,77,99,0.67,PE,1602467212
520,Kapoeta,4.77,33.59,74.43,71,2,4.09,SS,1602467214
521,Barra de Tecoanapa,16.52,-98.75,81.34,77,100,2.33,MX,1602467218
522,Woodstock,43.13,-80.75,46.4,87,5,16.11,CA,1602467219
523,Tandahimba,-10.75,39.63,73.27,93,88,2.62,TZ,1602467221
524,Wagar,16.15,36.2,79.47,36,0,7.67,SD,1602467223
525,Pahrump,36.21,-115.98,82.4,14,1,6.93,US,1602467225
526,Laas,46.62,10.7,44.01,80,75,8.05,IT,1602467227
527,Dolinsk,47.35,142.8,57.2,76,75,8.95,RU,1602467228
528,Agua Dulce,18.13,-94.13,79.36,90,100,7.16,MX,1602467231
529,Ulkan,57.24,107.32,28.29,93,100,6.82,RU,1602467233
530,Liloy,8.11,122.66,85.71,66,71,1.41,PH,1602467235
531,Talnakh,69.49,88.4,24.8,92,40,22.37,RU,1602467237
532,Roald,62.58,6.13,44.6,93,83,3.36,NO,1602467239
533,Huaidian,33.43,115.03,66.04,72,97,7.87,CN,1602467241
534,Claresholm,50.03,-113.59,46.99,45,6,8.05,CA,1602467243
535,Tra Vinh,9.93,106.35,79.2,89,100,7.34,VN,1602467246
